Description,PN,Qty Needed,Per Pkg Price,Per Pkg Qty,Num Pkgs,Total,Notes,Link
"Button Head Screw, M12, 35mm long",HBCBM12-35,1,$2.95,1,1,$2.95,,https://us.misumi-ec.com/vona2/detail/110302261550/?ProductCode=HBCBM12-35
"Button Head Screw, M8, 20mm long",HBCBM8-20,2,$0.95,1,2,$1.90,,https://us.misumi-ec.com/vona2/detail/110302261550/?ProductCode=HBCBM8-20
"Slot Nut, Economy, M8",40-1981,2,$0.43,1,2,$0.86,,https://8020.net/40-1981.html
,,,,,Hardware Subtotal,$5.71,,
,,,,,,,,
K-51 Collective,,1,$297.00,1,1,$297.00,,https://forums.eagle.ru/topic/222296-sollective-pitch-control-lever/
,,,,,Grand Total,$302.71,,
